code,price_1,price_2_5,price_6_10,price_11_20,price_21_plus,msrp_derived_2x,source
25001-2B,27.95,23.95,19.95,16.95,13.95,55.9,sheet 1
25002-2B,27.95,23.95,19.95,16.95,13.95,55.9,sheet 1
25003-2B,27.95,23.95,19.95,16.95,13.95,55.9,sheet 1
25005-2B,27.95,23.95,19.95,16.95,13.95,55.9,sheet 1
25007-2B,27.95,23.95,19.95,16.95,13.95,55.9,sheet 1
25008-2B,27.95,23.95,19.95,16.95,13.95,55.9,sheet 1
25009-2B,27.95,23.95,19.95,16.95,13.95,55.9,sheet 1
25001,24.95,19.95,12.5,9.5,7.95,49.9,sheet 1
25002,24.95,19.95,12.5,9.5,7.95,49.9,sheet 1
25003,24.95,19.95,12.5,9.5,7.95,49.9,sheet 1
25005,24.95,19.95,12.5,9.5,7.95,49.9,sheet 1
25007,24.95,19.95,12.5,9.5,7.95,49.9,sheet 1
25008,24.95,19.95,12.5,9.5,7.95,49.9,sheet 1
25009,24.95,19.95,12.5,9.5,7.95,49.9,sheet 1
2000B,26.95,19.95,13.95,10.95,9.5,53.9,sheet 1
2000W,26.95,19.95,14.95,10.95,9.5,53.9,sheet 1
2100B,26.95,19.95,14.95,10.95,9.5,53.9,sheet 1
2100W,26.95,19.95,14.95,10.95,9.5,53.9,sheet 1
2020B,26.95,19.95,14.95,10.95,9.5,53.9,sheet 1
2020W,26.95,19.95,14.95,10.95,9.5,53.9,sheet 1
2120B,26.95,19.95,14.95,10.95,9.5,53.9,sheet 1
2120W,26.95,19.95,14.95,10.95,9.5,53.9,sheet 1
62001,129.95,89.95,79.95,69.95,60.0,259.9,sheet 1
62002,139.95,99.95,84.95,74.99,65.99,279.9,sheet 1
62007,149.95,109.95,89.99,79.99,69.99,299.9,sheet 1
61008-2,129.95,89.95,69.95,59.95,49.95,259.9,sheet 1
61000-2,14.95,12.95,11.95,10.99,8.99,29.9,sheet 1
61000-210,139.95,109.95,99.95,89.95,84.95,279.9,sheet 1
61001,79.99,69.95,59.95,49.95,44.95,159.98,sheet 1
61003,89.99,79.95,69.95,59.95,54.95,179.98,sheet 1
61002,99.95,89.95,79.95,69.95,59.95,199.9,sheet 1
61004,99.95,89.95,79.95,69.95,59.95,199.9,sheet 1
61007,109.95,99.95,89.95,79.95,69.95,219.9,sheet 1
61008,119.95,109.95,99.5,89.95,79.95,239.9,sheet 1
61010,169.95,149.95,99.5,79.95,69.95,339.9,sheet 1
61011,169.95,149.95,99.5,79.95,69.95,339.9,sheet 1
61012,169.95,149.95,129.95,106.5,89.5,339.9,sheet 1
61013,169.95,149.95,129.95,109.5,89.5,339.9,sheet 1
60003,32.95,19.95,18.95,14.5,13.5,65.9,sheet 1
60005,32.95,19.95,18.95,14.5,13.5,65.9,sheet 1
60007,32.95,19.95,18.95,14.5,13.5,65.9,sheet 1
60008,32.95,19.95,18.95,14.5,13.5,65.9,sheet 1
60009,32.95,19.95,18.95,14.5,13.5,65.9,sheet 1
60010,148.5,120.15,118.8,,89.95,297.0,sheet 1 — product not in HCPS catalog
60013,133.5,120.15,106.8,,74.95,267.0,sheet 1 — product not in HCPS catalog
60015,133.5,120.15,106.8,,74.95,267.0,sheet 1 — product not in HCPS catalog
60017,133.5,120.15,106.8,,74.95,267.0,sheet 1 — product not in HCPS catalog
60018,133.5,120.15,106.8,,74.95,267.0,sheet 1 — product not in HCPS catalog
60019,148.5,120.15,118.8,,89.95,297.0,sheet 1 — product not in HCPS catalog
60023,269.95,219.95,199.95,,177.95,539.9,sheet 1 — product not in HCPS catalog
60025,269.95,219.95,199.95,,177.95,539.9,sheet 1 — product not in HCPS catalog
60027,269.95,219.95,199.95,,177.95,539.9,sheet 1 — product not in HCPS catalog
60028,269.95,219.95,199.95,,177.95,539.9,sheet 1 — product not in HCPS catalog
60029,279.95,229.95,199.95,,192.95,559.9,sheet 1 — product not in HCPS catalog
60033,325.0,302.95,306.0,,295.95,650.0,sheet 1 — product not in HCPS catalog
60035,325.0,302.95,306.0,,295.95,650.0,sheet 1 — product not in HCPS catalog
60037,325.0,302.95,306.0,,295.95,650.0,sheet 1 — product not in HCPS catalog
60038,325.0,302.95,306.0,,295.95,650.0,sheet 1 — product not in HCPS catalog
60039,336.68,329.95,325.0,,310.95,673.36,sheet 1 — product not in HCPS catalog
60067,295.0,289.0,289.0,,276.0,590.0,sheet 1 — product not in HCPS catalog
60068,295.0,289.0,289.0,,276.0,590.0,sheet 1 — product not in HCPS catalog
49001,195.0,175.0,125.0,99.5,79.99,390.0,sheet 1
49002,195.0,175.0,125.0,99.5,79.99,390.0,sheet 1
4900-OKBU-S-M,25.0,19.5,19.5,13.95,12.95,50.0,sheet 1
4900-OKBU-L-XL,25.0,19.5,19.5,13.95,12.95,50.0,sheet 1
