code,price_from,price_1,price_2_5,price_6_10,price_11_20,price_21_plus,msrp_2x,current_problem
10002BLACK,10002,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10002BLUE,10002,49.95,44.95,37.95,31.95,27.95,99.90,"11-20 rung is $34.99, list says $31.95"
10002GREY,10002,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10002RED,10002,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10003BLACK,10003,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10003BLUE,10003,49.95,44.95,37.95,31.95,27.95,99.90,"11-20 rung is $34.99, list says $31.95"
10003GREY,10003,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10003RED,10003,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10005BLACK,10005,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10005BLUE,10005,49.95,44.95,37.95,31.95,27.95,99.90,"11-20 rung is $34.99, list says $31.95"
10005GREY,10005,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10005RED,10005,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10007BLACK,10007,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10007BLUE,10007,49.95,44.95,37.95,31.95,27.95,99.90,"11-20 rung is $34.99, list says $31.95"
10007GREY,10007,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10007RED,10007,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10008BLACK,10008,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10008BLUE,10008,49.95,44.95,37.95,31.95,27.95,99.90,"11-20 rung is $34.99, list says $31.95"
10008GREY,10008,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10008RED,10008,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10102BLACK,10102,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10102BLUE,10102,49.95,44.95,37.95,31.95,27.95,99.90,"11-20 rung is $34.99, list says $31.95"
10102GREY,10102,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10102RED,10102,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10103BLACK,10103,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10103BLUE,10103,49.95,44.95,37.95,31.95,27.95,99.90,"11-20 rung is $34.99, list says $31.95"
10103GREY,10103,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10103RED,10103,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10105BLACK,10105,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10105BLUE,10105,49.95,44.95,37.95,31.95,27.95,99.90,"11-20 rung is $34.99, list says $31.95"
10105GREY,10105,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10105RED,10105,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
