Order #,Order Date,Customer ID,Company Name,SKU,Product Name,Quantity,Unit Price,Line Total,Shipping Name,Shipping City,Shipping State,Shipping Zip
CUS00079-20260605-BC20113-1,2026-06-05,CUS00079,Lincare Bloomington IN,BC20113,"BiWaze Cough - Home Care USA - Control unit, internal battery, carrying bag, English USA user manual, home care quick reference guide, patient port adapter, 3 pk air inlet filters and standard breathing circuit - medium face mask.",2,2360,4720,Lincare Bloomington IN,Bloomington,IN,47403
CUS00023-20260518-BC20113-2,2026-05-18,CUS00023,Adapt Health Clarksville IN,BC20113,"BiWaze Cough - Home Care USA - Control unit, internal battery, carrying bag, English USA user manual, home care quick reference guide, patient port adapter, 3 pk air inlet filters and standard breathing circuit - medium face mask.",1,2360,2360,Adapt Health Clarksville IN,Clarksville,IN,47129
CUS00079-20250129-BC20113-3,2025-01-29,CUS00079,Lincare Columbus IN,BC20113,"BiWaze Cough - Home Care USA - Control unit, internal battery, carrying bag, English USA user manual, home care quick reference guide, patient port adapter, 3 pk air inlet filters and standard breathing circuit - medium face mask.",1,2145,2145,Lincare Columbus IN,COLUMBUS,IN,47201
CUS00079-20250812-BC21089-4,2025-08-12,CUS00079,Lincare Columbus IN,BC21089,BiWaze Cough - Standard Breathing Circuit - Face Mask - Adult Medium,5,12,60,Lincare Columbus IN,COLUMBUS,IN,47201
CUS00079-20250304-BC20113-5,2025-03-04,CUS00079,Lincare Columbus IN,BC20113,"BiWaze Cough - Home Care USA - Control unit, internal battery, carrying bag, English USA user manual, home care quick reference guide, patient port adapter, 3 pk air inlet filters and standard breathing circuit - medium face mask.",1,2145,2145,Lincare Columbus IN,COLUMBUS,IN,47201
CUS00079-20250829-BC21092-6,2025-08-29,CUS00079,Lincare Columbus IN,BC21092,BiWaze Cough - Standard Breathing Circuit - Mouthpiece,10,12,120,Lincare Columbus IN,COLUMBUS,IN,47201
CUS00079-20260211-BC21089-7,2026-02-11,CUS00079,Lincare Columbus IN,BC21089,BiWaze Cough - Standard Breathing Circuit - Face Mask - Adult Medium,5,12,60,Lincare Columbus IN,COLUMBUS,IN,47201
CUS00079-20250310-BC20113-8,2025-03-10,CUS00079,Lincare Columbus IN,BC20113,"BiWaze Cough - Home Care USA - Control unit, internal battery, carrying bag, English USA user manual, home care quick reference guide, patient port adapter, 3 pk air inlet filters and standard breathing circuit - medium face mask.",1,2145,2145,Lincare Columbus IN,COLUMBUS,IN,47201
CUS00079-20250829-BC21090-9,2025-08-29,CUS00079,Lincare Columbus IN,BC21090,BiWaze Cough - Standard Breathing Circuit - Trach,10,12,120,Lincare Columbus IN,COLUMBUS,IN,47201
CUS00079-20260807-BC22496-10,2026-08-07,CUS00079,Lincare Columbus IN,BC22496,Patient Port Adapter for BiWaze Cough,2,6,12,Lincare Columbus IN,COLUMBUS,IN,47201
CUS00079-20260522-BC21089-11,2026-05-22,CUS00079,Lincare Columbus IN,BC21089,BiWaze Cough - Standard Breathing Circuit - Face Mask - Adult Medium,6,12,72,Lincare Columbus IN,COLUMBUS,IN,47201
CUS00079-20250630-BC20113-12,2025-06-30,CUS00079,Lincare Columbus IN,BC20113,"BiWaze Cough - Home Care USA - Control unit, internal battery, carrying bag, English USA user manual, home care quick reference guide, patient port adapter, 3 pk air inlet filters and standard breathing circuit - medium face mask.",1,2145,2145,Lincare Columbus IN,COLUMBUS,IN,47201
CUS00079-20250829-BC21088-13,2025-08-29,CUS00079,Lincare Columbus IN,BC21088,BiWaze Cough - Standard Breathing Circuit - Face Mask - Adult Small,10,12,120,Lincare Columbus IN,COLUMBUS,IN,47201
CUS00079-20250829-BC21087-14,2025-08-29,CUS00079,Lincare Columbus IN,BC21087,BiWaze Cough - Standard Breathing Circuit - Face Mask - Child,10,12,120,Lincare Columbus IN,COLUMBUS,IN,47201
CUS00079-20250829-BC21273-15,2025-08-29,CUS00079,Lincare Columbus IN,BC21273,BiWaze Cough - Standard Breathing Circuit - Face Mask - Adult Large,10,12,120,Lincare Columbus IN,COLUMBUS,IN,47201
CUS00079-20250829-BC21089-16,2025-08-29,CUS00079,Lincare Columbus IN,BC21089,BiWaze Cough - Standard Breathing Circuit - Face Mask - Adult Medium,10,12,120,Lincare Columbus IN,COLUMBUS,IN,47201
CUS00079-20250321-BC20113-17,2025-03-21,CUS00079,Lincare Columbus IN,BC20113,"BiWaze Cough - Home Care USA - Control unit, internal battery, carrying bag, English USA user manual, home care quick reference guide, patient port adapter, 3 pk air inlet filters and standard breathing circuit - medium face mask.",1,2145,2145,Lincare Columbus IN,COLUMBUS,IN,47201
CUS00023-20260116-BC22496-18,2026-01-16,CUS00023,Adapt Health Evensville IN,BC22496,Patient Port Adapter for BiWaze Cough,2,6,12,Adapt Health Evensville IN,Evansville,IN,47713
CUS00023-20260116-BC20113-19,2026-01-16,CUS00023,Adapt Health Evensville IN,BC20113,"BiWaze Cough - Home Care USA - Control unit, internal battery, carrying bag, English USA user manual, home care quick reference guide, patient port adapter, 3 pk air inlet filters and standard breathing circuit - medium face mask.",2,2360,4720,Adapt Health Evensville IN,Evansville,IN,47713
CUS00079-20251120-BC20113-20,2025-11-20,CUS00079,Lincare Madison IN,BC20113,"BiWaze Cough - Home Care USA - Control unit, internal battery, carrying bag, English USA user manual, home care quick reference guide, patient port adapter, 3 pk air inlet filters and standard breathing circuit - medium face mask.",2,2145,4290,Lincare Madison IN,Madison,IN,47250
CUS00079-20250403-BC20113-21,2025-04-03,CUS00079,Lincare Madison IN,BC20113,"BiWaze Cough - Home Care USA - Control unit, internal battery, carrying bag, English USA user manual, home care quick reference guide, patient port adapter, 3 pk air inlet filters and standard breathing circuit - medium face mask.",2,2145,4290,Lincare Madison IN,Madison,IN,47250
CUS00079-20260514-BC20113-22,2026-05-14,CUS00079,Lincare Madison IN,BC20113,"BiWaze Cough - Home Care USA - Control unit, internal battery, carrying bag, English USA user manual, home care quick reference guide, patient port adapter, 3 pk air inlet filters and standard breathing circuit - medium face mask.",2,2360,4720,Lincare Madison IN,Madison,IN,47250
CUS00079-20260521-BC21089-23,2026-05-21,CUS00079,Lincare Madison IN,BC21089,BiWaze Cough - Standard Breathing Circuit - Face Mask - Adult Medium,20,12,240,Lincare Madison IN,Madison,IN,47250
CUS00079-20250131-BC22496-24,2025-01-31,CUS00079,Lincare Vincennes IN,BC22496,Patient Port Adapter for BiWaze Cough,2,6,12,Lincare Vincennes IN,Vincennes,IN,47591
CUS00079-20251112-BC21087-25,2025-11-12,CUS00079,Lincare Vincennes IN,BC21087,BiWaze Cough - Standard Breathing Circuit - Face Mask - Child,20,12,240,Lincare Vincennes IN,Vincennes,IN,47591
