Customer Name,Account Number,City,State,Order Date,Invoice #,Type,PO Number,Sales Amount,Commission Rate,Commission,Rep (per note - verify)
CAPITAL PHARMACY & MEDICAL EQUIP,C537305,FRANKFORT,KY,01/18/2025,INV100270,I,1900,50.0,10,5.0,Angelo Audia
CAPITAL PHARMACY & MEDICAL EQUIP,C537305,FRANKFORT,KY,01/18/2025,INV116321,I,11112024,35.9,10,3.59,Angelo Audia
CAPITAL PHARMACY & MEDICAL EQUIP,C537305,FRANKFORT,KY,01/18/2025,INV117610,I,11112024,7.9,10,0.79,Angelo Audia
PATIENT AIDS,C562238,WILDER,KY,01/21/2025,INV124554,I,128649,112.95,10,11.32,Angelo Audia
BUCKEYE HOME MEDICAL,C623750,McMinnville,TN,01/21/2025,INV116535,I,35062,332.6,10,33.29,Greg Campbell
NORTHSIDE PHARMACY & MEDICAL SUPPLY,C684326,CANTON,GA,01/17/2025,INV130267,I,011525PHONE,251.85,10,25.29,Greg Campbell
PHYSICIANS PHARMACY,C075110,AUSTELL,GA,02/20/2025,INV137779,I,21825,371.95,10,37.26,Greg Campbell
PHYSICIANS PHARMACY,C075110,AUSTELL,GA,02/28/2025,INV140028,I,21825,42.0,10,4.2,Greg Campbell
HOSKINS DRUG STORE,C444655,CLINTON,TN,02/07/2025,INV134815,I,020425PHONE,80.1,10,8.03,Angelo Audia
HOSKINS DRUG STORE,C444655,CLINTON,TN,02/20/2025,INV137936,I,020425PHONE,27.85,10,2.79,Angelo Audia
PATIENT AIDS,C562238,WILDER,KY,02/03/2025,INV125472,I,128649,18.0,10,1.8,Angelo Audia
ACCESS DURABLE MEDICAL EQUIPMENT,C589727,CHATTANOOGA,TN,02/10/2025,INV135354,I,TK02052025,129.7,10,13.0,Greg Campbell
ACCESS DURABLE MEDICAL EQUIPMENT,C589727,CHATTANOOGA,TN,02/21/2025,INV138082,I,TK02052025,16.4,10,1.64,Greg Campbell
TRUSTEE DRUGS & MEDICAL SUPPLIES,C622346,FOREST PARK,GA,02/11/2025,INV135665,I,2-7-25JUDE,62.15,10,6.23,Greg Campbell
TRUSTEE DRUGS & MEDICAL SUPPLIES,C622346,FOREST PARK,GA,02/17/2025,INV136991,I,2-7-25JUDE,4.95,10,0.5,Greg Campbell
BELEW DRUG INC,C640925,KNOXVILLE,TN,02/28/2025,INV139972,I,Whiteside,62.85,10,6.29,Angelo Audia
LONGLEY PHARMACY,C672503,ROSSVILLE,GA,02/19/2025,INV137672,I,021725PHN,38.0,10,3.8,Greg Campbell
CARMICHAEL'S DRUG,C722549,MONROE,GA,02/27/2025,INV139615,I,22525,536.75,10,53.69,Greg Campbell
WOODY'S PHARMACY,C815021,CLERMONT,GA,02/03/2025,INV133975,I,D17 CUSTOMIZE 2024,507.0,10,50.78,Greg Campbell
WOODY'S PHARMACY,C815021,CLERMONT,GA,02/07/2025,INV134862,I,D17 CUSTOMIZE 2024,15.0,10,1.5,Greg Campbell
WOODY'S PHARMACY,C815021,CLERMONT,GA,02/11/2025,INV135578,I,D17 CUSTOMIZE 2024,108.45,10,10.85,Greg Campbell
WOODY'S PHARMACY,C815021,CLERMONT,GA,02/13/2025,INV136353,I,D17 CUSTOMIZE 2024,9.9,10,0.99,Greg Campbell
JEFF'S PRESCRIPTION SHOP,C416124,ELIZABETHTOWN,KY,03/12/2025,INV142802,I,030725PHONE,235.6,10,23.6,Lori Hunt
MORRISTOWN PHARMACY,C559322,MORRISTOWN,TN,03/12/2025,INV142962,I,031125 LAUREN,311.2,10,31.14,Angelo Audia
PATIENT AIDS,C562238,WILDER,KY,03/03/2025,INV132087,I,130392,44.55,10,4.47,Angelo Audia
ACCESS DURABLE MEDICAL EQUIPMENT,C589727,CHATTANOOGA,TN,03/07/2025,INV141936,I,TK05062025,85.05,10,8.51,Greg Campbell
ACCESS DURABLE MEDICAL EQUIPMENT,C589727,CHATTANOOGA,TN,03/11/2025,INV142626,I,TK05062025,9.0,10,0.9,Greg Campbell
SNELL PHARMACY,C689078,SNELLVILLE,GA,03/12/2025,INV142815,I,,68.0,10,6.8,Greg Campbell
CARMICHAEL'S DRUG,C722549,MONROE,GA,03/06/2025,INV141594,I,22525,68.75,10,6.88,Greg Campbell
ALLENHILL PHARMACY,C483173,FRANKLIN,TN,04/15/2025,INV131758,I,0671,31.45,10,3.15,Angelo Audia
ALLENHILL PHARMACY,C483173,FRANKLIN,TN,04/15/2025,INV133028,I,0671,3.5,10,0.35,Angelo Audia
CAPITAL PHARMACY & MEDICAL EQUIP,C537305,FRANKFORT,KY,04/23/2025,INV134409,I,02032025,82.3,10,8.25,Angelo Audia
